Macrotrends Data Download

Zimbabwe GDP Per Capita 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,276.6434
1961-12-31,279.3327,0.97
1962-12-31,275.9661,-1.21
1963-12-31,277.5325,0.57
1964-12-31,282.3769,1.75
1965-12-31,294.8936,4.43
1966-12-31,279.3378,-5.28
1967-12-31,295.0564,5.63
1968-12-31,302.8029,2.63
1969-12-31,346.5389,14.44
1970-12-31,362.1441,4.5
1971-12-31,406.2175,12.17
1972-12-31,483.97,19.14
1973-12-31,579.2964,19.7
1974-12-31,674.539,16.44
1975-12-31,716.9495,6.29
1976-12-31,686.7217,-4.22
1977-12-31,676.3292,-1.51
1978-12-31,664.4325,-1.76
1979-12-31,777.883,17.07
1980-12-31,947.3671,21.79
1981-12-31,1067.2545,12.65
1982-12-31,1094.2926,2.53
1983-12-31,957.7752,-12.48
1984-12-31,756.3345,-21.03
1985-12-31,648.668,-14.24
1986-12-31,692.14,6.7
1987-12-31,726.6207,4.98
1988-12-31,816.6995,12.4
1989-12-31,841.5632,3.04
1990-12-31,868.4902,3.2
1991-12-31,832.688,-4.12
1992-12-31,634.4474,-23.81
1993-12-31,608.0466,-4.16
1994-12-31,634.5826,4.36
1995-12-31,646.8296,1.93
1996-12-31,765.1651,18.29
1997-12-31,750.6839,-1.89
1998-12-31,554.3615,-26.15
1999-12-31,585.3318,5.59
2000-12-31,565.2844,-3.42
2001-12-31,569.0032,0.66
2002-12-31,529.1869,-7
2003-12-31,474.3022,-10.37
2004-12-31,477.3995,0.65
2005-12-31,470.7838,-1.39
2006-12-31,441.4988,-6.22
2007-12-31,425.0368,-3.73
2008-12-31,351.8391,-17.22
2009-12-31,762.298,116.66
2010-12-31,937.8403,23.03
2011-12-31,1082.6158,15.44
2012-12-31,1290.194,19.17
2013-12-31,1408.3678,9.16
2014-12-31,1407.0343,-0.09
2015-12-31,1410.3292,0.23
2016-12-31,1421.7878,0.81
2017-12-31,1192.107,-16.15
2018-12-31,2269.177,90.35
2019-12-31,1421.8686,-37.34
2020-12-31,1372.6967,-3.46
2021-12-31,1773.9204,29.23
